sta,component,n,span,order,score,coverage,gram_cond,design_cond,gram_rebuild_err,gate,worst_param,v_image,v_raw
0BUG,north,3066,8.4791,84,1.4855600407685567e-12,1.6147218341361684e-11,173.8464478807328,10.03987330807676,0.0,ok,b2,0.014970183886762072,0.014970183886761985
0BUG,up,3066,8.4791,84,2.5693573028663253e-13,1.6147218341361684e-11,173.8464478807328,10.03987330807676,0.0,ok,a2,0.003004093238615197,0.003004093238614792
0BUR,east,7310,20.167,178,2.3879840733753678e-14,3.3734081863030064e-11,378.03627551886734,23.349483419798784,0.0,ok,b2,0.017304210907208132,0.017304210907208507
0BUR,north,7310,20.167,178,3.0311238599731645e-14,3.3734081863030064e-11,378.03627551886734,23.349483419798784,0.0,ok,b2,0.014290813494513107,0.014290813494513045
0BUR,up,7310,20.167,178,5.1057106726542133e-14,3.3734081863030064e-11,378.03627551886734,23.349483419798784,0.0,ok,v,0.009303647759297592,0.009303647759297116
0BYG,east,2583,7.1759,74,4.114412251320562e-13,1.8352213832050827e-11,154.4931946436836,8.617760282385293,0.0,ok,a2,0.0178163642640407,0.017816364264040513
0BYG,north,2583,7.1759,74,1.6668334261588228e-13,1.8352213832050827e-11,154.4931946436836,8.617760282385293,0.0,ok,a2,0.014203524388531546,0.014203524388531605
0BYG,up,2583,7.1759,74,2.1778212397820766e-12,1.8352213832050827e-11,154.4931946436836,8.617760282385293,0.0,ok,a2,0.01023699879325229,0.010236998793252378
0BYS,east,1194,3.3867,44,2.243594564070663e-12,1.5188238459947904e-11,91.73618274898901,4.721697895973454,0.0,ok,b2,0.018335156388193878,0.01833515638819359
0BYS,north,1194,3.3867,44,2.9795689796743776e-13,1.5188238459947904e-11,91.73618274898901,4.721697895973454,0.0,ok,b2,0.015308037070033689,0.015308037070033798
0BYS,up,1194,3.3867,44,4.808984552252001e-13,1.5188238459947904e-11,91.73618274898901,4.721697895973454,0.0,ok,b2,0.009971329110147056,0.009971329110147992
0CHA,east,5792,15.8823,144,5.1003878072713746e-14,1.6590032150317785e-11,288.41947071278446,18.5334127968828,0.0,ok,a2,0.01627487845022215,0.016274878450222106
0CHA,north,5792,15.8823,144,1.302796192396833e-14,1.6590032150317785e-11,288.41947071278446,18.5334127968828,0.0,ok,b1,0.014176218092682645,0.014176218092682626
0CHA,up,5792,15.8823,144,1.630880866720906e-14,1.6590032150317785e-11,288.41947071278446,18.5334127968828,0.0,ok,a1,0.0064714329185300845,0.006471432918530074
0DAJ,east,4074,11.2608,107,1.1324528796218038e-13,1.2970233021067213e-11,220.7479754472988,13.16968386562968,0.0,ok,v,0.01681947576714058,0.016819475767138676
0DAJ,north,4074,11.2608,107,9.858473203170398e-14,1.2970233021067213e-11,220.7479754472988,13.16968386562968,0.0,ok,v,0.014516922024198235,0.014516922024199666
0DAJ,up,4074,11.2608,107,2.3532562538649773e-13,1.2970233021067213e-11,220.7479754472988,13.16968386562968,0.0,ok,v,0.007692404165148235,0.00769240416515011
0DAL,east,5645,15.5537,141,1.8576410892885078e-14,1.6856756773365278e-11,298.51088357538487,18.074672301642625,0.0,ok,a2,0.01859553869814333,0.018595538698143302
0DAL,north,5645,15.5537,141,1.8886775633313087e-14,1.6856756773365278e-11,298.51088357538487,18.074672301642625,0.0,ok,a2,0.015009812845835635,0.015009812845835708
